Date,Time,Symbol,Price,Action,Total Value,Realized Profit/Loss,Realized Profit/Loss (%)
2024-02-13,11:14:00,BTCUSDT,50140.35,BUY,$1000,-,-
2024-02-13,11:35:00,BTCUSDT,50077.0,SELL,$1000,$-1.26,-0.13%
2024-02-13,11:35:00,BTCUSDT,50077.0,BUY,$1000,-,-
2024-02-13,11:39:00,BTCUSDT,50101.35,SELL,$1000,$0.49,0.05%
2024-02-13,11:43:00,BTCUSDT,49956.52,BUY,$1000,-,-
2024-05-01,13:50:00,BTCUSDT,58053.09,BUY,$1000,-,-
2024-05-01,14:49:00,BTCUSDT,57667.49,SELL,$1000,$-6.64,-0.66%
2024-05-01,14:56:00,BTCUSDT,57338.86,BUY,$1000,-,-
2024-05-01,19:17:00,BTCUSDT,57943.4,SELL,$1000,$10.54,1.05%
2024-05-01,20:13:00,BTCUSDT,58624.26,BUY,$1000,-,-
2024-05-01,21:32:00,BTCUSDT,57251.51,SELL,$1000,$-23.42,-2.34%
2024-05-01,22:01:00,BTCUSDT,57455.78,BUY,$1000,-,-
2024-01-17,17:02,BTCUSDT,"42460,35",BUY,1000,-,-
2024-05-19,20:49:00,BTCUSDT,66148.29,BUY,$1000,-,-
